,Address,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
199,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
200,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
201,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
202,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
203,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
204,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
205,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
206,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
207,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
208,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
209,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
210,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
211,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
212,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
213,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
214,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
215,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
216,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
217,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
218,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
219,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
220,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
221,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
222,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
223,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
224,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
225,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
226,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
227,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
228,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
